164	SB	1176	108	1386	141	1191	165	1046	-2	0	-1	0	-1	0	-10	-29	-30	-111	-53	-191	156	41	42	73	66	63	27	349	325	-1	0
165	VU	1174	106	1268	152	1100	190	970	-2	0	-1	0	-1	0	-3	0	-15	-56	-18	-63	170	29	41	100	51	97	22	307	385	-1	0
166	VC	1172	52	1551	96	1366	173	1140	-3	-2	2	19	5	30	-9	-25	-19	-64	-44	-171	262	91	97	74	96	104	62	415	447	5	30
167	SG	1171	73	1412	126	1244	167	1082	-22	-71	-21	-73	-24	-92	-28	-115	-55	-226	-17	-51	644	256	140	248	197	315	132	871	1180	-24	-92
168	GD	1166	40	1559	87	1417	169	1163	0	0	-8	-26	-11	-32	-5	-3	-28	-89	-20	-70	214	73	80	61	78	85	51	370	370	-11	-32
169	HK	1153	57	1517	115	1304	171	1148	1	-3	-3	-6	-7	-24	-5	-13	-17	-69	-15	-54	411	137	117	157	148	186	77	681	721	-7	-24
170	BB	1145	53	1399	112	1264	174	1127	1	-10	3	15	2	10	2	10	-42	-167	-44	-176	279	131	97	51	87	119	73	350	449	2	10
171	SZ	1143	126	1265	148	1185	181	1081	2	3	1	9	8	62	6	33	-8	-31	-13	-48	196	90	88	18	39	99	58	161	350	8	62
172	BZ	1136	139	1171	160	1099	183	1040	2	0	-3	-14	-3	-14	1	6	6	57	-2	19	64	16	21	27	11	41	12	65	140	-3	-14
173	LC	1134	61	1352	118	1259	191	983	-6	-33	4	30	10	80	11	109	-1	6	-35	-134	190	65	78	47	64	99	27	280	371	10	80
174	GI	1132	167	1152	178	1083	189	1017	-2	-10	-3	-15	-6	-20	-3	-11	0	6	3	54	19	5	3	11	7	9	3	26	39	-6	-20
175	ER	1109	139	1246	158	1182	176	1098	0	0	0	0	0	0	-6	-37	-14	-69	-9	-37	73	17	23	33	12	43	18	47	120	0	0
176	NI	1104	63	1138	141	998	196	896	-1	-5	-2	-13	-2	-13	-1	-17	1	24	11	99	143	17	55	71	16	117	10	109	477	-2	-13
177	KG	1099	139	1237	160	1177	178	1090	0	-2	-1	-7	-4	-35	-3	-24	-12	-63	-20	-93	100	15	41	44	24	63	13	90	196	-4	-35
178	AF	1096	82	1120	162	882	210	779	0	0	0	0	7	43	21	178	30	316	28	274	86	7	29	50	19	48	19	79	195	7	43
179	ST	1081	152	1113	170	1064	186	999	0	0	1	0	-3	-23	0	-23	0	25	0	25	35	14	12	9	5	24	6	27	93	-3	-23
180	IN	1069	30	1628	108	1332	182	1053	0	-7	1	-7	-2	-13	-14	-86	-38	-176	-19	-112	466	119	123	224	165	210	91	660	823	-2	-13
181	CW	1065	27	1614	92	1388	187	1007	5	9	6	58	6	58	5	55	-10	-65	-22	-125	359	108	133	118	134	134	91	614	609	6	58
182	SS	1064	177	1107	181	1077	184	1050	0	0	1	0	0	3	-1	-18	0	0	0	0	10	1	4	5	0	8	2	4	24	0	3
182	MV	1064	169	1141	188	868	208	726	0	0	1	0	-2	-10	-4	-43	-7	-59	7	71	153	39	52	62	41	81	31	190	360	-2	-10
184	MM	1062	34	1686	122	1273	190	990	-3	-11	2	53	3	55	4	59	-26	-127	-17	-82	432	63	96	273	188	165	79	759	671	3	55
